,name,seed,tgood,vgood,model
197,knn_seed_150_skf_2_paras_0_K_3,150_skf_2,1,1,knn
198,knn_seed_151_skf_0_paras_0_K_3,151_skf_0,1,1,knn
199,knn_seed_151_skf_3_paras_0_K_3,151_skf_3,1,1,knn
200,knn_seed_152_skf_1_paras_0_K_3,152_skf_1,1,1,knn
201,knn_seed_152_skf_4_paras_0_K_3,152_skf_4,1,1,knn
202,knn_seed_154_skf_3_paras_0_K_3,154_skf_3,1,1,knn
203,knn_seed_154_skf_4_paras_0_K_3,154_skf_4,1,1,knn
204,knn_seed_157_skf_1_paras_0_K_3,157_skf_1,1,1,knn
205,knn_seed_157_skf_4_paras_0_K_3,157_skf_4,1,1,knn
206,knn_seed_159_skf_1_paras_0_K_3,159_skf_1,1,1,knn
207,knn_seed_159_skf_2_paras_0_K_3,159_skf_2,1,1,knn
208,knn_seed_160_skf_4_paras_0_K_3,160_skf_4,1,1,knn
209,knn_seed_161_skf_4_paras_0_K_3,161_skf_4,1,1,knn
210,knn_seed_162_skf_2_paras_0_K_3,162_skf_2,1,1,knn
211,knn_seed_162_skf_3_paras_0_K_3,162_skf_3,1,1,knn
212,knn_seed_163_skf_0_paras_0_K_3,163_skf_0,1,1,knn
213,knn_seed_163_skf_1_paras_0_K_3,163_skf_1,1,1,knn
214,knn_seed_164_skf_1_paras_0_K_3,164_skf_1,1,1,knn
215,knn_seed_166_skf_0_paras_0_K_3,166_skf_0,1,1,knn
216,knn_seed_166_skf_3_paras_0_K_3,166_skf_3,1,1,knn
217,knn_seed_167_skf_3_paras_0_K_3,167_skf_3,1,1,knn
218,knn_seed_168_skf_1_paras_0_K_3,168_skf_1,1,1,knn
219,knn_seed_168_skf_3_paras_0_K_3,168_skf_3,1,1,knn
220,knn_seed_168_skf_4_paras_0_K_3,168_skf_4,1,1,knn
221,knn_seed_171_skf_3_paras_0_K_3,171_skf_3,1,1,knn
222,knn_seed_172_skf_4_paras_0_K_3,172_skf_4,1,1,knn
223,knn_seed_173_skf_2_paras_0_K_3,173_skf_2,1,1,knn
224,knn_seed_173_skf_4_paras_0_K_3,173_skf_4,1,1,knn
225,knn_seed_174_skf_3_paras_0_K_3,174_skf_3,1,1,knn
226,knn_seed_175_skf_3_paras_0_K_3,175_skf_3,1,1,knn
227,knn_seed_177_skf_0_paras_0_K_3,177_skf_0,1,1,knn
228,knn_seed_177_skf_1_paras_0_K_3,177_skf_1,1,1,knn
229,knn_seed_177_skf_4_paras_0_K_3,177_skf_4,1,1,knn
230,knn_seed_178_skf_0_paras_0_K_3,178_skf_0,1,1,knn
231,knn_seed_178_skf_3_paras_0_K_3,178_skf_3,1,1,knn
232,knn_seed_179_skf_1_paras_0_K_3,179_skf_1,1,1,knn
233,knn_seed_180_skf_2_paras_0_K_3,180_skf_2,1,1,knn
234,knn_seed_181_skf_3_paras_0_K_3,181_skf_3,1,1,knn
235,knn_seed_183_skf_1_paras_0_K_3,183_skf_1,1,1,knn
236,knn_seed_185_skf_4_paras_0_K_3,185_skf_4,1,1,knn
237,knn_seed_186_skf_2_paras_0_K_3,186_skf_2,1,1,knn
238,knn_seed_186_skf_3_paras_0_K_3,186_skf_3,1,1,knn
239,knn_seed_187_skf_1_paras_0_K_3,187_skf_1,1,1,knn
240,knn_seed_187_skf_2_paras_0_K_3,187_skf_2,1,1,knn
241,knn_seed_187_skf_3_paras_0_K_3,187_skf_3,1,1,knn
242,knn_seed_188_skf_1_paras_0_K_3,188_skf_1,1,1,knn
243,knn_seed_188_skf_3_paras_0_K_3,188_skf_3,1,1,knn
244,knn_seed_189_skf_1_paras_0_K_3,189_skf_1,1,1,knn
245,knn_seed_189_skf_2_paras_0_K_3,189_skf_2,1,1,knn
246,knn_seed_190_skf_0_paras_0_K_3,190_skf_0,1,1,knn
247,knn_seed_190_skf_1_paras_0_K_3,190_skf_1,1,1,knn
248,knn_seed_190_skf_4_paras_0_K_3,190_skf_4,1,1,knn
249,knn_seed_191_skf_3_paras_0_K_3,191_skf_3,1,1,knn
250,knn_seed_191_skf_4_paras_0_K_3,191_skf_4,1,1,knn
251,knn_seed_192_skf_0_paras_0_K_3,192_skf_0,1,1,knn
252,knn_seed_193_skf_1_paras_0_K_3,193_skf_1,1,1,knn
253,knn_seed_193_skf_3_paras_0_K_3,193_skf_3,1,1,knn
254,knn_seed_193_skf_4_paras_0_K_3,193_skf_4,1,1,knn
255,knn_seed_196_skf_0_paras_0_K_3,196_skf_0,1,1,knn
256,knn_seed_196_skf_4_paras_0_K_3,196_skf_4,1,1,knn
257,knn_seed_197_skf_0_paras_0_K_3,197_skf_0,1,1,knn
258,knn_seed_197_skf_3_paras_0_K_3,197_skf_3,1,1,knn
259,knn_seed_198_skf_1_paras_0_K_3,198_skf_1,1,1,knn
260,knn_seed_199_skf_0_paras_0_K_3,199_skf_0,1,1,knn
261,knn_seed_199_skf_3_paras_0_K_3,199_skf_3,1,1,knn
262,lr_seed_0_skf_1_paras_0_C_0.001_weight_balanced,0_skf_1,1,1,lr
263,lr_seed_0_skf_2_paras_0_C_0.001_weight_balanced,0_skf_2,1,1,lr
264,lr_seed_0_skf_4_paras_0_C_0.001_weight_balanced,0_skf_4,1,1,lr
265,lr_seed_1_skf_1_paras_0_C_0.001_weight_balanced,1_skf_1,1,1,lr
266,lr_seed_2_skf_3_paras_0_C_0.001_weight_balanced,2_skf_3,1,1,lr
267,lr_seed_3_skf_1_paras_0_C_0.001_weight_balanced,3_skf_1,1,1,lr
268,lr_seed_3_skf_2_paras_0_C_0.001_weight_balanced,3_skf_2,1,1,lr
269,lr_seed_4_skf_2_paras_0_C_0.001_weight_balanced,4_skf_2,1,1,lr
270,lr_seed_5_skf_0_paras_0_C_0.001_weight_balanced,5_skf_0,1,1,lr
271,lr_seed_6_skf_4_paras_0_C_0.001_weight_balanced,6_skf_4,1,1,lr
272,lr_seed_7_skf_0_paras_0_C_0.001_weight_balanced,7_skf_0,1,1,lr
273,lr_seed_7_skf_2_paras_0_C_0.001_weight_balanced,7_skf_2,1,1,lr
274,lr_seed_10_skf_1_paras_0_C_0.001_weight_balanced,10_skf_1,1,1,lr
275,lr_seed_10_skf_4_paras_0_C_0.001_weight_balanced,10_skf_4,1,1,lr
276,lr_seed_11_skf_2_paras_0_C_0.001_weight_balanced,11_skf_2,1,1,lr
277,lr_seed_12_skf_4_paras_0_C_0.001_weight_balanced,12_skf_4,1,1,lr
278,lr_seed_13_skf_2_paras_0_C_0.001_weight_balanced,13_skf_2,1,1,lr
279,lr_seed_14_skf_1_paras_0_C_0.001_weight_balanced,14_skf_1,1,1,lr
280,lr_seed_14_skf_3_paras_0_C_0.001_weight_balanced,14_skf_3,1,1,lr
281,lr_seed_14_skf_4_paras_0_C_0.001_weight_balanced,14_skf_4,1,1,lr
282,lr_seed_15_skf_3_paras_0_C_0.001_weight_balanced,15_skf_3,1,1,lr
283,lr_seed_15_skf_4_paras_0_C_0.001_weight_balanced,15_skf_4,1,1,lr
284,lr_seed_17_skf_0_paras_0_C_0.001_weight_balanced,17_skf_0,1,1,lr
285,lr_seed_18_skf_0_paras_0_C_0.001_weight_balanced,18_skf_0,1,1,lr
286,lr_seed_18_skf_3_paras_0_C_0.001_weight_balanced,18_skf_3,1,1,lr
287,lr_seed_18_skf_4_paras_0_C_0.001_weight_balanced,18_skf_4,1,1,lr
288,lr_seed_19_skf_0_paras_0_C_0.001_weight_balanced,19_skf_0,1,1,lr
289,lr_seed_20_skf_3_paras_0_C_0.001_weight_balanced,20_skf_3,1,1,lr
290,lr_seed_21_skf_3_paras_0_C_0.001_weight_balanced,21_skf_3,1,1,lr
291,lr_seed_22_skf_2_paras_0_C_0.001_weight_balanced,22_skf_2,1,1,lr
292,lr_seed_22_skf_3_paras_0_C_0.001_weight_balanced,22_skf_3,1,1,lr
293,lr_seed_23_skf_1_paras_0_C_0.001_weight_balanced,23_skf_1,1,1,lr
294,lr_seed_23_skf_2_paras_0_C_0.001_weight_balanced,23_skf_2,1,1,lr
295,lr_seed_24_skf_1_paras_0_C_0.001_weight_balanced,24_skf_1,1,1,lr
296,lr_seed_24_skf_3_paras_0_C_0.001_weight_balanced,24_skf_3,1,1,lr
297,lr_seed_25_skf_0_paras_0_C_0.001_weight_balanced,25_skf_0,1,1,lr
298,lr_seed_25_skf_2_paras_0_C_0.001_weight_balanced,25_skf_2,1,1,lr
299,lr_seed_26_skf_1_paras_0_C_0.001_weight_balanced,26_skf_1,1,1,lr
300,lr_seed_26_skf_3_paras_0_C_0.001_weight_balanced,26_skf_3,1,1,lr
301,lr_seed_27_skf_0_paras_0_C_0.001_weight_balanced,27_skf_0,1,1,lr
302,lr_seed_28_skf_1_paras_0_C_0.001_weight_balanced,28_skf_1,1,1,lr
303,lr_seed_29_skf_0_paras_0_C_0.001_weight_balanced,29_skf_0,1,1,lr
304,lr_seed_30_skf_0_paras_0_C_0.001_weight_balanced,30_skf_0,1,1,lr
305,lr_seed_32_skf_4_paras_0_C_0.001_weight_balanced,32_skf_4,1,1,lr
306,lr_seed_33_skf_1_paras_0_C_0.001_weight_balanced,33_skf_1,1,1,lr
307,lr_seed_33_skf_2_paras_0_C_0.001_weight_balanced,33_skf_2,1,1,lr
308,lr_seed_33_skf_3_paras_0_C_0.001_weight_balanced,33_skf_3,1,1,lr
309,lr_seed_34_skf_1_paras_0_C_0.001_weight_balanced,34_skf_1,1,1,lr
310,lr_seed_34_skf_2_paras_0_C_0.001_weight_balanced,34_skf_2,1,1,lr
311,lr_seed_34_skf_4_paras_0_C_0.001_weight_balanced,34_skf_4,1,1,lr
312,lr_seed_35_skf_2_paras_0_C_0.001_weight_balanced,35_skf_2,1,1,lr
