,model,name,MCC,seed
34,svm,svm_seed_6_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23800000000000002,6_skf_4
35,svm,svm_seed_7_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23399999999999999,7_skf_0
36,svm,svm_seed_7_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.3,7_skf_1
37,svm,svm_seed_7_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.326,7_skf_2
38,svm,svm_seed_7_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.184,7_skf_3
39,svm,svm_seed_7_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.337,7_skf_4
40,svm,svm_seed_8_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.209,8_skf_0
41,svm,svm_seed_8_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.29100000000000004,8_skf_1
42,svm,svm_seed_8_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.207,8_skf_2
43,svm,svm_seed_8_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.315,8_skf_3
44,svm,svm_seed_8_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.353,8_skf_4
45,svm,svm_seed_9_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.265,9_skf_0
46,svm,svm_seed_9_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.337,9_skf_1
47,svm,svm_seed_9_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.261,9_skf_2
48,svm,svm_seed_9_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.259,9_skf_3
49,svm,svm_seed_9_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.359,9_skf_4
50,svm,svm_seed_10_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.332,10_skf_0
51,svm,svm_seed_10_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.29100000000000004,10_skf_1
52,svm,svm_seed_10_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.309,10_skf_2
53,svm,svm_seed_10_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.29100000000000004,10_skf_3
54,svm,svm_seed_10_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.259,10_skf_4
55,svm,svm_seed_11_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.28300000000000003,11_skf_0
56,svm,svm_seed_11_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.34700000000000003,11_skf_1
57,svm,svm_seed_11_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23800000000000002,11_skf_2
58,svm,svm_seed_11_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.259,11_skf_3
59,svm,svm_seed_11_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.207,11_skf_4
60,svm,svm_seed_12_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.309,12_skf_0
61,svm,svm_seed_12_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.261,12_skf_1
62,svm,svm_seed_12_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.233,12_skf_2
63,svm,svm_seed_12_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.32799999999999996,12_skf_3
64,svm,svm_seed_12_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.275,12_skf_4
65,svm,svm_seed_13_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.306,13_skf_0
