,name,seed,tgood,vgood,model
278,lr_seed_2_skf_3_paras_4_C_0.1_weight_balanced,2_skf_3,1,1,lr
279,lr_seed_2_skf_4_paras_4_C_0.1_weight_balanced,2_skf_4,1,1,lr
280,lr_seed_5_skf_0_paras_4_C_0.1_weight_balanced,5_skf_0,1,1,lr
281,lr_seed_5_skf_2_paras_4_C_0.1_weight_balanced,5_skf_2,1,1,lr
282,lr_seed_7_skf_4_paras_4_C_0.1_weight_balanced,7_skf_4,1,1,lr
283,lr_seed_8_skf_3_paras_4_C_0.1_weight_balanced,8_skf_3,1,1,lr
284,lr_seed_9_skf_1_paras_4_C_0.1_weight_balanced,9_skf_1,1,1,lr
285,lr_seed_9_skf_2_paras_4_C_0.1_weight_balanced,9_skf_2,1,1,lr
286,lr_seed_9_skf_4_paras_4_C_0.1_weight_balanced,9_skf_4,1,1,lr
287,lr_seed_10_skf_1_paras_4_C_0.1_weight_balanced,10_skf_1,1,1,lr
288,lr_seed_10_skf_2_paras_4_C_0.1_weight_balanced,10_skf_2,1,1,lr
289,lr_seed_11_skf_3_paras_4_C_0.1_weight_balanced,11_skf_3,1,1,lr
290,lr_seed_11_skf_4_paras_4_C_0.1_weight_balanced,11_skf_4,1,1,lr
291,lr_seed_12_skf_1_paras_4_C_0.1_weight_balanced,12_skf_1,1,1,lr
292,lr_seed_12_skf_4_paras_4_C_0.1_weight_balanced,12_skf_4,1,1,lr
293,lr_seed_14_skf_1_paras_4_C_0.1_weight_balanced,14_skf_1,1,1,lr
294,lr_seed_15_skf_2_paras_4_C_0.1_weight_balanced,15_skf_2,1,1,lr
295,lr_seed_16_skf_1_paras_4_C_0.1_weight_balanced,16_skf_1,1,1,lr
296,lr_seed_16_skf_2_paras_4_C_0.1_weight_balanced,16_skf_2,1,1,lr
297,lr_seed_17_skf_2_paras_4_C_0.1_weight_balanced,17_skf_2,1,1,lr
298,lr_seed_17_skf_4_paras_4_C_0.1_weight_balanced,17_skf_4,1,1,lr
299,lr_seed_19_skf_1_paras_4_C_0.1_weight_balanced,19_skf_1,1,1,lr
300,lr_seed_20_skf_3_paras_4_C_0.1_weight_balanced,20_skf_3,1,1,lr
301,lr_seed_21_skf_2_paras_4_C_0.1_weight_balanced,21_skf_2,1,1,lr
302,lr_seed_21_skf_4_paras_4_C_0.1_weight_balanced,21_skf_4,1,1,lr
303,lr_seed_22_skf_3_paras_4_C_0.1_weight_balanced,22_skf_3,1,1,lr
304,lr_seed_22_skf_4_paras_4_C_0.1_weight_balanced,22_skf_4,1,1,lr
305,lr_seed_24_skf_2_paras_4_C_0.1_weight_balanced,24_skf_2,1,1,lr
306,lr_seed_24_skf_3_paras_4_C_0.1_weight_balanced,24_skf_3,1,1,lr
307,lr_seed_24_skf_4_paras_4_C_0.1_weight_balanced,24_skf_4,1,1,lr
308,lr_seed_25_skf_0_paras_4_C_0.1_weight_balanced,25_skf_0,1,1,lr
309,lr_seed_25_skf_2_paras_4_C_0.1_weight_balanced,25_skf_2,1,1,lr
310,lr_seed_26_skf_0_paras_4_C_0.1_weight_balanced,26_skf_0,1,1,lr
311,lr_seed_26_skf_4_paras_4_C_0.1_weight_balanced,26_skf_4,1,1,lr
312,lr_seed_27_skf_1_paras_4_C_0.1_weight_balanced,27_skf_1,1,1,lr
313,lr_seed_27_skf_2_paras_4_C_0.1_weight_balanced,27_skf_2,1,1,lr
314,lr_seed_28_skf_2_paras_4_C_0.1_weight_balanced,28_skf_2,1,1,lr
315,lr_seed_28_skf_4_paras_4_C_0.1_weight_balanced,28_skf_4,1,1,lr
316,lr_seed_29_skf_0_paras_4_C_0.1_weight_balanced,29_skf_0,1,1,lr
317,lr_seed_29_skf_4_paras_4_C_0.1_weight_balanced,29_skf_4,1,1,lr
318,lr_seed_30_skf_3_paras_4_C_0.1_weight_balanced,30_skf_3,1,1,lr
319,lr_seed_30_skf_4_paras_4_C_0.1_weight_balanced,30_skf_4,1,1,lr
320,lr_seed_31_skf_0_paras_4_C_0.1_weight_balanced,31_skf_0,1,1,lr
321,lr_seed_31_skf_3_paras_4_C_0.1_weight_balanced,31_skf_3,1,1,lr
322,lr_seed_32_skf_4_paras_4_C_0.1_weight_balanced,32_skf_4,1,1,lr
323,lr_seed_33_skf_0_paras_4_C_0.1_weight_balanced,33_skf_0,1,1,lr
324,lr_seed_33_skf_1_paras_4_C_0.1_weight_balanced,33_skf_1,1,1,lr
325,lr_seed_34_skf_1_paras_4_C_0.1_weight_balanced,34_skf_1,1,1,lr
326,lr_seed_34_skf_2_paras_4_C_0.1_weight_balanced,34_skf_2,1,1,lr
327,lr_seed_35_skf_0_paras_4_C_0.1_weight_balanced,35_skf_0,1,1,lr
328,lr_seed_36_skf_3_paras_4_C_0.1_weight_balanced,36_skf_3,1,1,lr
329,lr_seed_37_skf_0_paras_4_C_0.1_weight_balanced,37_skf_0,1,1,lr
330,lr_seed_37_skf_3_paras_4_C_0.1_weight_balanced,37_skf_3,1,1,lr
331,lr_seed_38_skf_0_paras_4_C_0.1_weight_balanced,38_skf_0,1,1,lr
332,lr_seed_39_skf_4_paras_4_C_0.1_weight_balanced,39_skf_4,1,1,lr
333,lr_seed_40_skf_2_paras_4_C_0.1_weight_balanced,40_skf_2,1,1,lr
334,lr_seed_41_skf_0_paras_4_C_0.1_weight_balanced,41_skf_0,1,1,lr
335,lr_seed_41_skf_4_paras_4_C_0.1_weight_balanced,41_skf_4,1,1,lr
336,lr_seed_42_skf_0_paras_4_C_0.1_weight_balanced,42_skf_0,1,1,lr
337,lr_seed_42_skf_3_paras_4_C_0.1_weight_balanced,42_skf_3,1,1,lr
338,lr_seed_43_skf_1_paras_4_C_0.1_weight_balanced,43_skf_1,1,1,lr
339,lr_seed_43_skf_4_paras_4_C_0.1_weight_balanced,43_skf_4,1,1,lr
340,lr_seed_44_skf_0_paras_4_C_0.1_weight_balanced,44_skf_0,1,1,lr
341,lr_seed_45_skf_0_paras_4_C_0.1_weight_balanced,45_skf_0,1,1,lr
342,lr_seed_45_skf_2_paras_4_C_0.1_weight_balanced,45_skf_2,1,1,lr
343,lr_seed_45_skf_4_paras_4_C_0.1_weight_balanced,45_skf_4,1,1,lr
344,lr_seed_46_skf_2_paras_4_C_0.1_weight_balanced,46_skf_2,1,1,lr
345,lr_seed_47_skf_1_paras_4_C_0.1_weight_balanced,47_skf_1,1,1,lr
346,lr_seed_47_skf_4_paras_4_C_0.1_weight_balanced,47_skf_4,1,1,lr
347,lr_seed_48_skf_1_paras_4_C_0.1_weight_balanced,48_skf_1,1,1,lr
348,lr_seed_51_skf_0_paras_4_C_0.1_weight_balanced,51_skf_0,1,1,lr
